trainee,id,성장과정,성격의 장단점,학창시절,지원동기,입사 후 포부,직무 경험
1,12,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 경험은 있음 + 부분적 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","직무 이해 있음 + 부분 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,18,"가치관 명확 + 간단한 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 경험은 있음 + 부분적 성찰","장점 명확 + 사례 적당 , 단점만 있고 개선 없음 , 적절한 사례 + 대체로 원만","성실하고 자기주도 학습 있음 , 활동 참여 + 간단한 결과 , 도전 있음 + 성과 미흡","직무 이해 있음 + 부분 연결 , 본인 경험/가치와 연결된 명확한 동기 , 직무와 역량의 논리적 연결 + 사례","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 기여방안 있으나 설명 부족","실무 경험 있음 + 적절 설명 , 관련 역량 보유 + 일부 활용 , 문제 인식 및 일부 해결 경험"
1,19,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","직무 이해 있음 + 부분 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,21,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 명확 + 구체적 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 적절한 사례 + 대체로 원만","전공과 연계된 주도적 학습 경험 , 활동 참여 + 간단한 결과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 있음 + 적절 설명 , 관련 역량 보유 + 일부 활용 , 문제 인식 및 일부 해결 경험"
1,22,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,23,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 극복 의지 있음 + 일부 노력 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 참여 + 간단한 결과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,24,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 경험은 있음 + 부분적 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 적절한 사례 + 대체로 원만","전공과 연계된 주도적 학습 경험 , 활동 참여 + 간단한 결과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 현실적 비전 제시 , 회사에 대한 이해 + 구체 기여방안","실무 경험 있음 + 적절 설명 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,25,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 극복 의지 있음 + 일부 노력 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,26,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 경험은 있음 + 부분적 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 도전 있음 + 성과 미흡","직무 이해 있음 + 부분 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,27,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 극복 의지 있음 + 일부 노력 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 있음 + 적절 설명 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,28,"가치관 명확 + 간단한 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 극복 의지 있음 + 일부 노력 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","직무 이해 있음 + 부분 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,29,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 명확 + 구체적 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 솔직 + 뚜렷한 개선 과정 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
1,30,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 경험은 있음 + 부분적 성찰","직무 연계 + 구체 사례로 강점 증명 , 극복 의지 있음 + 일부 노력 , 대인관계 우수 사례 + 긍정적 결과","성실하고 자기주도 학습 있음 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,1,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점 나열 중심, 노력 미흡 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,2,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점 숨기거나 책임 전가 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,3,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점만 있고 개선 없음 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,4,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점 숨기거나 책임 전가 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,5,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점 숨기거나 책임 전가 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,6,"가치관 명확 + 간단한 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점만 있고 개선 없음 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,7,"가치관 명확 + 간단한 사례 , 영향 관계 보통 + 적당한 설명 , 경험은 있음 + 부분적 성찰","장점 명확 + 사례 적당 , 단점만 있고 개선 없음 , 적절한 사례 + 대체로 원만","성실하고 자기주도 학습 있음 , 활동 적극적 참여 + 구체 성과 , 도전 있음 + 성과 미흡","직무 또는 회사 이해 부족 , 개인 목표 중심의 설명 , 직무와 역량의 논리적 연결 + 사례","목표 있으나 막연함 , 개인적 희망 수준 , 의지는 있으나 구체성 부족","경험 나열 중심 , 관련 역량 보유 + 일부 활용 , 문제 인식 및 일부 해결 경험"
6,8,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점만 있고 개선 없음 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,9,"명확하고 긍정적인 가치관 + 구체적 사례 , 영향 관계 보통 + 적당한 설명 , 특별한 경험 + 뚜렷한 성찰","직무 연계 + 구체 사례로 강점 증명 , 단점만 있고 개선 없음 , 대인관계 우수 사례 + 긍정적 결과","전공과 연계된 주도적 학습 경험 , 활동 적극적 참여 + 구체 성과 , 뚜렷한 도전 + 성과/교훈 존재","회사 특성과 직무 정확히 이해 + 본인 연결 , 본인 경험/가치와 연결된 명확한 동기 , 본인의 역량이 직무와 잘 맞는지 서술","구체적 + 회사 내 역할 연결 , 회사 발전과 연계된 비전 + 실현 가능성 , 회사에 대한 이해 + 구체 기여방안","실무 경험 + 성과 및 배움 있음 , 직무 필수 역량 다수 보유 + 활용 경험 , 문제 해결 과정 명확 + 결과 도출"
6,10,"가치관은 있으나 애매하거나 사례 부족 , 영향 설명 없음 , 경험만 나열, 의미 부족","장점 기술은 있으나 일반적 , 단점 숨기거나 책임 전가 , 사례 부족, 원론적 설명 대인관계 소극적 묘사 부정적 내용 포함","일반적인 학습 서술 , 활동 경험 있음 + 서술 미흡 , 경험 기술은 있으나 성과 미흡","피상적 이해 + 단순 지원 , 단순 관심 표현 , 적절한 역량 + 일부 연계","형식적 목표 제시 , 막연하거나 비현실적 , 기여 언급만 존재","경험 나열 중심 , 역량 언급 있으나 약함 , 문제 인식 또는 해결 없음"
6,12,"가치관은 있으나 애매하거나 사례 부족 , 영향은 있으나 논리 부족 단편적 언급 + 설명 없음 영향 설명 없음 , 경험만 나열, 의미 부족","장점 기술은 있으나 일반적 , 단점만 있고 개선 없음 , 대인관계 소극적 묘사","일반적인 학습 서술 , 활동 경험 있음 + 서술 미흡 , 경험 기술은 있으나 성과 미흡","이해도 없음, 복붙 의심 , 동기 없음 또는 불성실 , 역량 또는 직무 언급 없음","목표 없음 , 비전 없음 , 기여 의식 없음","경험 없음 , 관련 역량 없음 , 문제 인식 또는 해결 없음"
6,13,"가치관 불분명 + 사례 없음 , 단편적 언급 + 설명 없음 , 경험 모호, 연결 안 됨","장점 없음 또는 부정적 표현 , 단점 숨기거나 책임 전가 , 부정적 내용 포함","노력 부족, 피동적 학습 , 활동 없음 , 도전 경험 없음","이해도 없음, 복붙 의심 , 동기 없음 또는 불성실 , 역량 또는 직무 언급 없음","목표 없음 , 비전 없음 , 기여 의식 없음","경험 없음 , 관련 역량 없음 , 문제 인식 또는 해결 없음"
6,14,"가치관 불분명 + 사례 없음 , 단편적 언급 + 설명 없음 , 경험 모호, 연결 안 됨","장점 애매하거나 연관 없음 , 단점 숨기거나 책임 전가 , 부정적 내용 포함","일반적인 학습 서술 , 활동 없음 , 노력 부족, 결과 없음","이해도 없음, 복붙 의심 , 억지스러운 설명 , 역량만 나열, 직무 연결 부족 연계성 약함","목표 없음 , 비전 없음 , 기여 의식 없음","경험 없음 , 자격 보유만 있고 활용 미흡 , 문제 인식 또는 해결 없음"
6,15,"가치관 불분명 + 사례 없음 , 영향 설명 없음 , 경험 모호, 연결 안 됨","장점 없음 또는 부정적 표현 , 단점 숨기거나 책임 전가 , 부정적 내용 포함","노력 부족, 피동적 학습 , 활동 언급만 있고 내용 부족 활동 없음 , 노력 부족, 결과 없음","이해도 없음, 복붙 의심 , 동기 없음 또는 불성실 , 역량 또는 직무 언급 없음","목표 없음 , 비전 없음 , 기여 의식 없음","경험 없음 , 자격 보유만 있고 활용 미흡 , 문제 인식 또는 해결 없음"
